epoch,loss,tm_score
1,47835.51902961731,0.0025314570749560062
2,30140.911102294922,0.0025019498283471377
3,23121.8278799057,0.0029868059715510166
4,22810.065135478973,0.0034816344026189793
5,22896.89681482315,0.0035986235752513136
6,22685.901028633118,0.0033881037991333116
7,24496.312517166138,0.0026449620981093954
8,22266.97483921051,0.003733907631742431
9,20298.85981297493,0.002764848168934211
10,19368.67892885208,0.003685091194643591
11,21269.236361265182,0.0027858992936799507
12,20407.263211011887,0.002666572483932195
13,18537.46644437313,0.0027953888165934307
14,18078.511917352676,0.002994300651380931
15,19947.681361436844,0.002091099831554311
16,18118.192457199097,0.0026788246650519204
17,18147.786278486252,0.002233579927420937
18,17666.804111480713,0.003581922081482283
19,17425.953805565834,0.0031993082611560942
20,18646.87671303749,0.0031670768256555717
